Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume91article1_1_1,"p,α,α-tribromoacetophenone, water, sodium hydroxide, hydrochloric acid","89 g (0.25 mole), 100-150 ml, 50 g, N/A",p-Bromomandelic acid,40-48 g,water,Below 10°C,4-5 days,69-83%
volume91article1_1_3,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume91article1_1_4,-----------,-----------------,----------,-----------------,-----------,----------------------,----------------,-------
volume91article1_1_5,"BINOL, N-benzylcinchonidinium chloride","80 g per L of solvent, 0.55 equiv","(R)-BINOL, BINOL","85-88%, 89-93%",MeCN,Reflux,4 hours,>99% ee
volume91article1_1_7,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume91article1_1_8,-----------,-----------------,----------,-----------------,-----------,----------------------,----------------,-------
volume91article1_1_9,"Acetate (R)-3b, lithium aluminum hydride","9.0 g (36.27 mmol), 1.81 g (47.79 mmol)",(3R)-1-(Dimethylphenylsilyl)-1-buten-3-ol,6.27 g (30.42 mmol),Et2O,0°C,15 min,83%
volume91article1_1_11,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume91article1_1_12,-----------,-----------------,----------,-----------------,-----------,----------------------,----------------,-------
volume91article1_1_13,"methyl (tert-butoxycarbonyl)-glycinate, 1-amino pyridinium iodide, methanol, potassium carbonate","6.80 g (36.0 mmol), 6.67 g (30.0 mmol), 225 mL, 9.95 g (72.0 mmol)",((tert-Butoxycarbonyl)glycyl)(pyridin-1-ium-1-yl)amide,6.39 g,methanol,22°C,64 hours,85%
volume91article1_1_15,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume91article1_1_16,-----------,-----------------,----------,-----------------,-----------,----------------------,----------------,-------
volume91article1_1_17,"ethyl acetoacetate, hydroxyhydroquinone triacetate, sulfuric acid","60 g (0.45 mole), 114 g (0.45 mole), 450 cc",4-methylesculetin,80 g,sulfuric acid,80°C,30 minutes,92%
volume91article1_1_19,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume91article1_1_20,-----------,-----------------,----------,-----------------,-----------,----------------------,----------------,-------
volume91article1_1_21,"iso-amyl alcohol, hydrobromic acid, sulfuric acid","880 g (10 moles), 2.1 kg (12.5 moles), 100 g",iso-amyl bromide,1330-1360 g,hydrobromic acid,reflux,5-6 hours,88-90%
volume91article1_1_23,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
