Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume81article1_1_1,"carbon tetrabromide, triphenylphosphine, 3-phenylpropionaldehyde","82.46 g (248.64 mmol), 130.43 g (497.28 mmol), 16.4 mL (16.7 g, 124.3 mmol)","(4,4-dibromobut-3-enyl)benzene",34.75 g,"dichloromethane, water, diethyl ether",0°C,1 hour,96%
volume81article1_2_1,"(4,4-dibromobut-3-enyl)benzene, n-butyllithium, paraformaldehyde","30.00 g (103.45 mmol), 148 mL (237 mmol), 9.32 g (310.35 mmol)",5-phenylpent-2-yn-1-ol,14.32 g (86%),tetrahydrofuran,-78°C to room temperature,30 min (each step),86%
volume81article1_3_1,"5-phenylpent-2-yn-1-ol, pyridine, acetic anhydride","13.51 g (84.33 mmol), 68 mL (843 mmol), 32 mL (337 mmol)",Acetic acid 5-phenylpent-2-ynyl ester,16.77 g,CH2Cl2,Room temperature,Overnight,98%
volume81article1_4_1,"acetic acid 5-phenylpent-2-ynyl ester, second-generation ruthenium carbene complex, ethylene, ethyl vinyl ether","5.16 g (25.52 mmol), 0.217 g (0.26 mmol), N/A, 6 mL",acetic acid 2-methylene-3-phenethylbut-3-enyl ester,5.55-5.68 g,toluene,80°C,2 hours,94-97%
volume81article2_1_1,"titanium tetraisopropoxide, titanium tetrachloride, methyllithium","44.4 mL (150 mmol), 5.49 mL (50 mmol), 123 mL (197 mmol)",methyl tris(isopropoxy)titanium,38.5 g,ether,"0°C, room temperature","2 hours, 1 hour",80%
volume81article2_2_1,"N,N-dibenzylformamide, MeTi(OiPr)3, 3-butenylmagnesium bromide","9.0 g (40 mmol), 11.5 g (48 mmol), 40.5 mL (60 mmol)","N,N-Dibenzyl-N-(2-ethenylcyclopropyl)amine","0.73 g (cis-diastereomer), 0.51 g (mixed fraction), 6.2 g (trans-diastereomer)",tetrahydrofuran,Ambient temperature,1 hour,"7% (cis-diastereomer), 5% (mixed fraction), 59% (trans-diastereomer)"
volume81article3_1_1,"zinc powder, dichlorodicyclopentadienylvanadium, chlorotrimethylsilane, cyclohexanecarboxaldehyde","13 g (200 mmol), 0.756 g (3.0 mmol), 21.7 g (200 mmol), 11.2 g (100 mmol)","dl-1,2-dicyclohexylethanediol",9.86-10.79 g,tetrahydrofuran,room temperature,13 hours,87-95%
volume81article4_1_1,"magnesium turnings, 1-bromononane, 4-chlorobenzoic acid methyl ester, ferric acetylacetonate","2.95 g, 20.52 g, 13.0 g, 1.35 g",4-Nonylbenzoic acid methyl ester,15.81-16.85 g,"tetrahydrofuran, THF, N-methylpyrrolidinone, diethyl ether, 1M HCl, Et2O, saturated aq NaHCO3","Reflux, ambient temperature","45 min, 20 min, 7-10 min",79-84%
volume81article4_2_1,"4-nonylbenzoic acid methyl ester, aqueous NaOH, aqueous HCl","10.07 g (38.37 mmol), 96 mL, 200 mL",4-Nonylbenzoic acid,8.32-8.35 g,methanol,reflux,18 hours,87-88%
volume81article5_1_1,"1-heptyne, n-BuLi, Iodine","9.62 g (100 mmol), 61.0 mL (1.65M, 100 mmol), 25.4 g (100 mmol)",1-iodo-1-heptyne,17.9-18.5 g,"hexane, diethyl ether","-50 to -55°C, -70°C, room temperature","1.5 hours, 45 minutes, 10 minutes",81-83%
