Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume11article1_1_1,"Potassium hydroxide, β-chloropropionaldehyde acetal","340 g (6 moles), 167 g (1 mole)",Acrolein acetal,98 g,N/A,210-220°C,N/A,75%
volume11article2_1_1,"ammonium chloride, acetone, sodium cyanide, hydrobromic acid","200 g (3.7 moles), 175 g (3 moles), 160 g (3.2 moles), 1 kg",α-Aminoisobutyric acid,92-102 g,"water, ether, methyl alcohol","5-10°C, reflux","overnight, 2 hours",30-33%
volume11article3_1_1,"β-naphthol, sodium bisulfite, sodium hydroxide, sulfuric acid","300 g (2.1 moles), 600 g (5.8 moles), 100 cc, 400 cc",1-amino-2-naphthol-4-sulfonic acid,410-420 g,water,35-50°C,5 hours,82-84%
volume11article4_1_1,"powdered arsenious oxide, sodium hydroxide, nitrobenzene","226 g (1.1 moles), 275 g (6.9 moles), 150 g (125 cc, 1.2 moles)",azoxybenzene,102 g,water,reflux,8 hours,85%
volume11article5_1_1,"Potassium hydroxide, isopropylmalonic ester, hydrochloric acid, bromine","200 g (3.6 moles), 202 g (1 mole), 400 cc, 160 g (1 mole)",α-Bromoisovaleric acid,100-120 g,"water, alcohol-free ether","80°C, 0°C","1 hour, N/A",55-66%
volume11article6_1_1,"mesitylene, bromine","636 g (5.3 moles), 900 g (288 cc, 5.6 moles)",bromomesitylene,840-870 g,carbon tetrachloride,10-15°C,1 hour,79-82%
volume11article7_1_1,"absolute alcohol, acrolein, hydrogen chloride","200 g (253 cc), 112 g (2 moles), N/A",β-chloropropionaldehyde acetal,112 g,ice-salt bath,0°C,1-2 hours,34%
volume11article8_1_1,itaconic anhydride,250 g,Citraconic anhydride,170-180 g,N/A,Atmospheric pressure,N/A,68-72%
volume11article8_1_2,"citraconic anhydride, distilled water","22.4 g, 4 cc",Citraconic acid,24.4 g,N/A,N/A,48 hours,94%
volume11article9_1_1,"bromine, sodium cyanide","500 g (160 cc, 3.1 moles), 170 g",cyanogen bromide,239-280 g,water,Below 30°C,About 2 hours,73-85%
volume11article10_1_1,"2,4-dinitrotoluene, iron, hydrochloric acid","45.5 g (0.25 mole), 85 g (1.5 moles), 5.2 cc (0.06 mole)","2,4-diaminotoluene",49 g,ethyl alcohol,Boiling,2 hours,89%
volume11article10_1_2,"2,4-diaminotoluene sulfate, water, sodium hydroxide","20 g, 200 cc, 15 g","2,4-diaminotoluene",26.5 g,water,60°C,N/A,95%
volume11article10_1_3,crude diaminotoluene,N/A,"2,4-diaminotoluene",22.5 g,benzene,70°C,N/A,81%
volume11article11_1_1,"Anhydrous sodium carbonate, ethyl bromomalonate","200 g (1.9 moles), 300 g (1.25 moles)",Ethyl ethylenetetracarboxylate,150-160 g,"xylene, water",150-160°C,3 hours,75-80%
volume11article12_1_1,"sodium, absolute alcohol, ethyl oxalate, benzyl cyanide","46 g (2 gram atoms), 650 cc, 312 g (2.1 moles), 234 g (2 moles)",Ethyl phenylcyanopyruvate,300-325 g,absolute alcohol,N/A,overnight,69-75%
volume11article13_1_1,"sodium ethoxide, cyclohexanone, ethyl oxalate, sodium hydroxide, methyl alcohol, hydrochloric acid","46 g (2 gram atoms), 196 g (2 moles), 292 g (2 moles), 100 g (2.5 moles), 300 cc, 210 cc",pimelic acid,75-83 g,"ethyl alcohol, water, methyl alcohol, acetone, benzene","10°C, room temperature, 120°C","4-5 days, 6 hours, 2 hours",80-88%
volume11article13_2_1,"isoamyl alcohol, sodium, salicylic acid, hydrochloric acid","400 cc, 240 g (10.4 gram atoms), 100 g (0.73 mole), 920 cc",Pimelic acid,50-58 g,"isoamyl alcohol, water, benzene",90-100°C,7-8 hours,43-50%
volume11article14_1_1,"vanadium pentoxide, sodium chlorate, furfural","2 g, 450 g (4.2 moles), 200 g (2.06 moles)",Fumaric acid,120-138 g,water,70-75°C,10-11 hours,50-58%
volume11article15_1_1,dl-glyceraldehyde acetal,50 g (0.3 mole),dl-glyceraldehyde,22 g,"0.1 N sulfuric acid, glacial acetic acid, barium hydroxide solution, absolute alcohol",20°C,1 week,80%
volume11article16_1_1,"acrolein acetal, potassium permanganate, potassium carbonate","65 g (0.5 mole), 80 g (0.5 mole), 1.2 kg",dl-Glyceraldehyde ethyl acetal,55 g,"water, ether","5°C, steam bath","2 hours, 1 hour",67%
volume11article17_1_1,"hydroxylamine hydrochloride, heptaldehyde, sodium carbonate","348 g (5 moles), 460 g (4 moles), 265 g (2.5 moles)",heptaldoxime,420-480 g,water,Room temperature,1 hour,81-93%
volume11article18_1_1,heptaldoxime,258 g (2 moles),n-heptylamine,140-170 g,absolute alcohol,Boiling,N/A,60-73%
volume11article19_1_1,"Aniline, sodium bicarbonate, iodine","110 g (1.2 moles), 150 g (1.8 moles), 254 g (1 mole)",p-Iodoaniline,165-185 g,water,12-15°C,20-30 minutes,75-84%
volume11article20_1_1,"magnesium turnings, bromomesitylene, methyl sulfate","48 g (2 moles), 398 g (2 moles), 600 g (4.8 moles)",isodurene,140-160 g,ether,N/A,24 hours,52-60%
volume11article21_1_1,u.s.p. citric acid monohydrate,200 g (0.95 mole),Itaconic Anhydride,40-50 g,N/A,Rapid heating,10-12 minutes,37-47%
volume11article21_1_2,Itaconic Anhydride,40 g,Itaconic Acid,11-18 g,water,Reflux,1 hour,24-39%
volume11article22_1_1,Citraconic anhydride,100 g (0.89 mole),Mesaconic acid,50-60 g,"water, dilute nitric acid",N/A,N/A,43-52%
volume11article23_1_1,"potassium hydroxide, ethyl sec.-butylmalonate, concentrated sulfuric acid","200 g (3.6 moles), 200 g (0.92 mole), 320 g (3.3 moles)",3-methylpentanoic acid,66-69 g,water,reflux,"2 hours (saponification), 3 hours (reflux)",62-65%
volume11article24_1_1,"magnesium turnings, α-bromonaphthalene","24.3 g (1 gram atom), 192 g (0.93 mole)",α-naphthoic acid,118-121 g,"ether, benzene, toluene","-7°C, reflux, 100°C","1.5-3 hours, 0.75-1.5 hours, N/A",68-70%
volume11article25_1_1,"magnesium turnings, 2-bromopentane, n-butyl ether","182 g (7.5 gram atoms), 1133 g (7.5 moles), 750 g",n-pentane,270-290 g,n-butyl ether,50-60°C,3 hours,50-53%
volume11article26_1_1,"phthalic anhydride, phosphorus pentachloride","148 g (1 mole), 220 g (1.06 moles)",Symmetrical o-Phthalyl Chloride,187 g,N/A,"150°C, 250°C",12 hours,92%
volume11article26_1_2,"Symmetrical o-Phthalyl Chloride, aluminum chloride","105 g, 75 g",Unsymmetrical o-Phthalyl Chloride,76 g,"benzene, petroleum ether","40-50°C, 20-40°C",8-10 hours,72%
