Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume46article1_1_1,"2-acetamido-2-deoxy-D-glucose, acetyl chloride","50 g (0.226 mole), 100 ml","2-acetamido-3,4,6-tri-O-acetyl-2-deoxy-α-D-glucopyranosyl chloride",55-65 g,acetyl chloride,Room temperature,16 hours,67-79%
volume46article2_1_1,"sodium hydroxide, aluminum-nickel alloy","160 g, 125 g",Degassed Raney nickel catalyst (W7-J),N/A,water,"Room temperature, boiling water bath, 100°C","6 hours, 12-15 hours, 2 hours",N/A
volume46article2_2_1,pyridine,100 ml,"2,2'-Bipyridine",21.0 g,N/A,Reflux,48 hours,N/A
volume46article3_1_1,"N-Bromoacetamide, 1-heptene, anhydrous hydrogen fluoride, potassium carbonate","80 g (0.58 mole), 49 g (0.50 mole), 100 g (100 ml, 5 moles), 690 g (5.0 moles)",1-bromo-2-fluoroheptane,59-75 g,anhydrous ether,"Dry ice bath, ice bath","4 hours, overnight",60-77%
volume46article4_1_1,"paraformaldehyde, hydroxylamine hydrochloride, hydrated sodium acetate","11.5 g (0.38 mole), 26.3 g (0.38 mole), 51 g (0.38 mole)",Formaldoxime,10% solution,water,Boiling,15 minutes,N/A
volume46article4_2_1,"2-bromo-4-methylaniline, hydrochloric acid, sodium nitrite","46.0 g (0.25 mole), 57 ml, 17.5 g (0.25 mole)",2-Bromo-4-methylbenzenediazonium chloride,N/A,water,-5°C to +5°C,15 minutes,N/A
volume46article4_3_1,"Aqueous 10% formaldoxime, hydrated cupric sulfate, sodium sulfite, hydrated sodium acetate, neutral diazonium salt, concentrated hydrochloric acid",N/A,2-Bromo-4-methylbenzaldehyde,17.5-22.5 g,water,Reflux,2 hours,35-45%
volume46article5_1_1,"α-chloroacetamide, oxalyl chloride","46.7 g (0.5 mole), 76.2 g (0.6 mole)",α-chloroacetyl isocyanate,39 g,ethylene dichloride,"2°C, reflux at 83°C","1 hour, 5 hours",65%
volume46article6_1_1,"dimethylformamide, trichloroethylene, phosphorus oxychloride, cyclohexanone, anhydrous sodium acetate","310 g (4.24 moles), 800 ml, 460 g (3.0 moles), 320 g (3.26 moles), 1.2 kg",2-chloro-1-formyl-1-cyclohexene,230-320 g,trichloroethylene,"Below 10°C, 55-60°C",3 hours,53-74%
volume46article7_1_1,"chloromethylphosphonic dichloride, tetraphosphorus decasulfide","502 g (3 moles), 160 g (0.36 mole)",Chloromethylphosphonothioic dichloride,364-396 g,N/A,180-190°C,6 hours,66-72%
volume46article8_1_1,"Cyanogen chloride, liquid sulfur trioxide","36.9 g (0.60 mole), 64 g (0.80 mole)",Chlorosulfonyl isocyanate,67.7-69.9 g,Methylene chloride,-5°C to 130-150°C,"0.75-1.25 hours (addition of sulfur trioxide), 1 hour (distillation)",60-62%
volume46article9_1_1,"salicylaldehyde, chloroacetic acid, sodium hydroxide","106 ml (122 g, 1 mole), 94.5 g (1 mole), 80.0 g (2 moles)",o-Formylphenoxyacetic acid,99-100 g,water,"Boiling, reflux",3 hours,82-83%
volume46article9_2_1,"crude o-formylphenoxyacetic acid, sodium acetate, acetic anhydride, glacial acetic acid","90.0 g (0.5 mole), 180 g, 450 ml, 450 ml",Coumarone,37.5-40.0 g,"acetic anhydride, glacial acetic acid",reflux,8 hours,63.5-67.8%
volume46article10_1_1,"o-chlorobenzaldehyde, hexamethylphosphorous triamide","56.2 g (0.4 mole), 37.9 g (0.232 mole)","2,2'-dichloro-α,α'-epoxybibenzyl",37.5-43.1 g,"benzene, dry ether",24-36°C,30-50 minutes,71-81%
volume46article11_1_1,"2-butyne, boron trifluoride etherate, water, chlorine","216 g (4 moles), 14 ml, 1 ml, 195 g (2.75 moles)","3,4-dichloro-1,2,3,4-tetramethylcyclobutene",110-120 g,petroleum ether or methylene chloride,"-20°C, -78°C","17-20 hours, 30 minutes",30-33%
