Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume31article1_1_1,"Sodium, ethanol, ethyl acetoacetate, epichlorohydrin","23 g (1 g atom), 400 ml, 130 g (127 ml, 1 mole), 92.5 g (78.4 ml, 1 mole)",α-Acetyl-δ-chloro-γ-valerolactone,107-114 g,ethanol,45-50°C,18 hours,61-64%
volume31article2_1_1,"2-methylcyclohexanol, chromic oxide, sulfuric acid","114 g (1 mole), 220 g (2.2 moles), 368 g",δ-acetyl-n-valeric acid,66-79 g,"water, ether",30 ± 2°C,"1 hour, until all chromic oxide is consumed",46-55%
volume31article3_1_1,"p-nitrotoluene, sodium sulfide nonahydrate, flowers of sulfur, sodium hydroxide","50 g (0.36 mole), 30 g (0.125 mole), 15 g, 27 g (0.67 mole)",p-aminobenzaldehyde,18-22 g,ethanol,reflux,3 hours,40-50%
volume31article4_1_1,"p-bromoaniline, sodium cyanate","86 g (0.5 mole), 65 g (1 mole)",p-bromophenylurea,95-100 g,"glacial acetic acid, water",35°C,2-3 hours,88-93%
volume31article5_1_1,"p-phenetidine hydrochloride, urea","870 g (5 moles), 1.2 kg (20 moles)",p-ethoxyphenylurea,740-810 g,water,Boiling,45-90 minutes,82-90%
volume31article6_1_1,"acetamide, bromine, potassium hydroxide","20 g (0.34 mole), 54 g (0.34 mole), N/A",N-bromoacetamide,19-24 g,"chloroform, hexane",0-5°C,2-3 hours,41-51%
volume31article7_1_1,"o-chlorophenylthiourea, potassium hydroxide, lead acetate trihydrate","37.4 g (0.2 mole), 132 g (2 moles), 83.5 g (0.22 mole)",o-chlorophenylcyanamide,26-28 g,water,100°C,6 minutes,85-92%
volume31article8_1_1,"o-chloroaniline, concentrated hydrochloric acid, ammonium thiocyanate","38.3 g (31.5 ml, 0.30 mole), 27.5 ml (0.33 mole), 25 g (0.33 mole)",o-chlorophenylthiourea,20-24 g,water,70°C,1 hour,36-43%
volume31article9_1_1,"malic acid, concentrated sulfuric acid, fuming sulfuric acid","200 g (1.49 moles), 170 ml, three 50-ml portions",coumalic acid,68-73 g,N/A,water bath,2 hours,65-70%
volume31article10_1_1,"cyclohexanone, cyanoacetic acid, ammonium acetate","108 g (1.1 moles), 85 g (1.0 mole), 3.0 g (0.04 mole)","cyclohexylidenecyanoacetic acid, 1-cyclohexenylacetonitrile",N/A,benzene,160-165°C,"2 hours (water collection), 1 hour (reflux)",N/A
