Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume13article20_1_1,"β-acetylaminonaphthalene, concentrated nitric acid","300 g (1.62 moles), 200 g (143 cc, 2.1 moles)",1-nitro-2-acetylaminonaphthalene,175-182 g,"glacial acetic acid, benzene","Below 40°C, reflux","3 hours, 20 minutes",47-49%
volume14article1_1_1,"p-cymene, acetyl chloride, anhydrous aluminum chloride","175 g (1.3 moles), 110 g (100 cc, 1.4 moles), 180 g (1.35 moles)",Aceto-p-cymene,115-125 g,carbon disulfide,-5°C to 5°C,overnight,50-55%
volume25article17_1_1,"guaiacol, allyl bromide, anhydrous potassium carbonate","63 g (0.5 mole), 66 g (0.55 mole), 70 g",guaiacol allyl ether,66-75 g,acetone,reflux,8 hours,80-90%
volume25article17_2_1,Allyl ether,70 g,o-Eugenol,56-63 g,ether,Boiling,1 hour,80-90%
volume25article18_1_1,"furfural, malonic acid, pyridine","192 g (166 ml, 2 moles), 208 g (2 moles), 96 ml (1.2 moles)",furylacrylic acid,252-254 g,water,Boiling water bath,2 hours,91-92%
volume25article18_2_1,"Furfural, acetic anhydride, potassium acetate","288 g (3 moles), 460 g (425 ml, 4.5 moles), 294 g (3 moles)",Furylacrylic acid,270-290 g,N/A,150°C,4 hours,65-70%
volume25article19_1_1,"acetobromoglucose, water, silver carbonate","82.2 g (0.2 mole), 2.3 ml, 46.5 g (0.17 mole)","β-d-glucose-2,3,4,6-tetraacetate",52-56 g,acetone,"0°C, 50-60°C",30 minutes,75-80%
volume25article20_1_1,"Stannous chloride dihydrate, m-nitrobenzaldehyde, sodium nitrite","450 g (2 moles), 100 g (0.66 mole), 46 g",m-Hydroxybenzaldehyde,41-45 g,concentrated hydrochloric acid,"5°C, 4-5°C, boiling water","2.5 hours, 80 minutes, 40 minutes",51-56%
volume25article21_1_1,"thonyl chloride, isobutyric acid","542 g (4.55 moles), 352 g (4 moles)",Isobutyryl chloride,384 g,N/A,80°C,30 minutes,90%
volume25article21_2_1,"isobutyryl chloride, concentrated aqueous ammonia","318 g (3 moles), 1.25 L",Isobutyramide,203-215 g,ethyl acetate,0°C,1 hour,78-83%
volume25article23_1_1,"cyanoacetamide, salt, phosphorus oxychloride","1260 g (15 moles), 1 kg, 800 ml (8.75 moles)",malononitrile,570-654 g,ethylene dichloride,reflux,8 hours,57-66%
volume25article24_1_1,"mesitylene, hydrochloric acid, formaldehyde solution","200 g (1.66 moles), 1 L, 63 ml (0.84 mole)",α1-Chloroisodurene,155-170 g,benzene,55°C,5.5 hours,55-61%
volume25article24_2_1,"α1-chloroisodurene, sodium cyanide, water, ethanol","152 g (0.90 mole), 77 g (1.57 moles), 110 ml, 160 ml",Mesitylacetonitrile,128-133 g,benzene,Boiling water bath,3 hours,89-93%
volume25article24_3_1,"mesitylacetonitrile, water, concentrated sulfuric acid","127 g (0.80 mole), 900 ml, 750 ml",Mesitylacetic acid,123 g,"sulfuric acid, water",reflux,6 hours,87%
volume25article25_1_1,"methyl sebacamate, phosphorus pentoxide","190 g (0.88 mole), 95 g (0.67 mole)",methyl ω-cyanopelargonate,119-124 g,tetrachloroethane,120-145°C,30 minutes,69-71%
volume25article26_1_1,"Methyl hydrogen sebacate, thionyl chloride","216 g (1 mole), 147 g (1.24 moles)",ω-Carbomethoxypelargonyl chloride,194-201 g,N/A,Reflux,5 hours,83-86%
