Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume66article1_1_1,"3-trimethylsilyl-2-propyn-1-ol, methylmagnesium chloride, methanesulfonyl chloride","30.0 g (0.234 mol), 84 mL of a 2.8 M solution, 26.8 g (0.234 mol)",1-methyl-1-(trimethylsilyl)allene,21.3-22.2 g,tetrahydrofuran,"0°C, room temperature","30 min, 2 hours",72-75%
volume66article2_1_1,"(R)-(−)-carvone, 1-methyl-1-(trimethylsilyl)allene, titanium tetrachloride","115 g (0.077 mol), 10.8 g (0.079 mol), 17.4 g (0.092 mol)","cis-4-exo-ISOPROPENYL-1,9-DIMETHYL-8-(TRIMETHYLSILYL)BICYCLO[4.3.0]NON-8-EN-2-ONE",17.5 g,dichloromethane,-75°C to 0°C,1 hour,82%
volume66article3_1_1,"allyl alcohol, n-butyllithium, chlorotrimethylsilane, tert-butyllithium, ammonium chloride, oxalyl chloride, dimethyl sulfoxide, triethylamine","20.0 g (0.344 mol), 157 mL (0.363 mol), 39.3 g (0.362 mol), 258 mL (0.415 mol), N/A, 41.71 g (0.329 mol), 55.82 g (0.715 mol), 150.38 g (1.486 mol)","(1-Hydroxy-2-propenyl)trimethylsilane, (1-Oxo-2-propenyl)trimethylsilane","35.1-39.7 g, 27.8-30.0 g","tetrahydrofuran, pentane, dichloromethane","-75°C, N/A","2 hours, 1 hour",63-68%
volume66article4_1_1,"1-octyn-3-ol, triethyl orthoacetate, propionic acid","12.1 g (0.096 mol), 100 g (0.616 mol), 0.24 g (3.2 mmol)","Ethyl 3,4-decadienoate",15.4-17.2 g,N/A,140-150°C,6-8 hours,82-91%
volume66article4_1_2,"allenic ester 1, aluminum oxide","15.4-17.2 g (78-88 mmol), 50 g","Ethyl (E,Z)-2,4-decadienoate",11.6-13.6 g,benzene,reflux,5 hours,75-88%
volume66article5_1_1,"ethyl propiolate, trimethylamine","25.0 g (0.255 mol), 90 mL (0.35 mol)",(E)-(carboxyvinyl)trimethylammonium betaine,25.0-26.9 g,"dichloromethane, water","0-5°C, 25°C",3 hours,76-82%
volume66article5_1_2,"50% sodium hydride in oil, cinnamyl alcohol, (E)-(carboxyvinyl)trimethylammonium betaine","8.20 g (0.171 mol), 19.0 g (0.143 mol), 25.0 g (0.194 mol)",(E)-3-[(E)-3-phenyl-2-propenoxy]acrylic acid,24.7-25.0 g,tetrahydrofuran,reflux,15 hours,85%
volume66article5_1_3,(E)-3-[(E)-3-phenyl-2-propenoxy]acrylic acid,20.1 g (0.098 mol),3-Phenyl-4-pentenal,13.3-14.3 g,N/A,"160-165°C, 180°C",N/A,84-91%
volume66article6_1_1,"3-methyl-2-cyclohexen-1-one, methyl (E)-crotonate, diisopropylamine, butyllithium, potassium hydroxide","5.50 g (50 mmol), 10.0 g (0.1 mol), 5.56 g (55 mmol), 30 mL (54 mmol), 8.0 g (143 mmol)","Methyl 1,3-dimethyl-5-oxobicyclo[2.2.2]octane-2-carboxylate, 1,3-Dimethyl-5-oxobicyclo[2.2.2]octane-2-carboxylic acid","8.25-9.43 g, 7.0 g","tetrahydrofuran, diethyl ether, methanol, water","-78°C, room temperature, reflux, 180°C","2 hours, 1 day","78-90%, 67%"
volume66article7_1_1,"zinc chloride, 1-trimethylsilyloxy-1-ethoxycyclopropane, cuprous bromide/dimethyl sulfide complex, 2-cyclohexen-1-one, hexamethylphosphoric triamide","17.2 g, 41.80 g, 0.4 g, 9.62 g, 34.8 mL",Ethyl 3-[3-(trimethylsilyloxy)cyclohex-2-enyl]propionate,18.9-20.5 g,"ether, hexane","reflux, room temperature","1 hour, 1 hour, 30 minutes, 3 hours",70-76%
volume66article8_1_1,"methyl acrylate, anhydrous lithium tetrafluoroborate, tetrakis(acetonitrile)palladium tetrafluoroborate","50 mL, 9 g, 1.33 g",dimethyl (E)-2-hexenedioate,38.6 g,N/A,40°C,72 hours,81%
volume66article8_1_2,"tetravinyltin, low-halide methyllithium in ether, copper(I) cyanide, dimethyl (E)-2-hexenedioate","12.48 g, 133 mL, 9.31 g, 6.89 g",2-carbomethoxy-3-vinylcyclopentanone,5.39 g,anhydrous ether,-30°C,30 minutes,80%
volume66article9_1_1,"1-decyne, diisobutylaluminum hydride","22.6 mL (125 mmol), 22.3 mL (125 mmol)",(E)-1-Decenyldiisobutylalane,N/A,hexane,50-60°C,6 hours,N/A
volume66article9_1_2,"(Z)-1-hexenyl iodide, zinc chloride, tetrakis(triphenylphosphine)palladium","21.0 g (100 mmol), 13.6 g (100 mmol), 1.15 g (1 mmol)","(5Z,7E)-5,7-Hexadecadiene",14.3-15.8 g,tetrahydrofuran,room temperature,6 hours,64-66%
volume66article10_1_1,"o-iodotoluene, tert-butyllithium, zinc chloride, tetrakis(triphenylphosphine)palladium, 1-bromo-4-nitrobenzene","26.2 g (120 mmol), 154 mL (1.56 M, 240 mmol), 16.3 g (120 mmol), 1.16 g (1 mmol), 20.2 g (100 mmol)","o-Tolylzinc chloride, 2-Methyl-4'-nitrobiphenyl","N/A, 16.5 g","ether, tetrahydrofuran, THF, hexane, 3 N hydrochloric acid, ethanol","-78°C, room temperature","1 hour, 6 hours",78%
volume66article11_1_1,"sodium, dimethyl malonate, 3,3-dimethylallyl bromide","6.7 g (0.29 mol), 36.9 g (0.28 mol), 45.8 g (0.31 mol)","(3-Methyl-2-butenyl)propanedioic acid, dimethyl ester",43.9-44.5 g,methanol,0°C,1 hour,78-79%
volume66article11_1_2,"sodium hydride dispersion, tetrahydrofuran, monoalkyl diester","9.0 g (0.19 mol), 500 mL, 36.4 g (0.18 mol)","(3-Methyl-2-butenyl)(2-propynyl)propanedioic acid, dimethyl ester",34.0-34.2 g,tetrahydrofuran,0-10°C,overnight,79-80%
volume66article11_1_3,"dialkylmalonate diester, tributyltin hydride, azobisisobutyronitrile","23.8 g (0.100 mol), 30.2 g (<0.104 mol), 40 mg","(Z)-3-Tributylstannylmethylene-4-isopropyl-1,1-cyclopentanedicarboxylic acid, dimethyl ester",N/A,N/A,75-85°C,N/A,N/A
volume66article11_1_4,"(Z)-3-Tributylstannylmethylene-4-isopropyl-1,1-cyclopentanedicarboxylic acid, dimethyl ester",N/A,"3-Methylene-4-isopropyl-1,1-cyclopentanedicarboxylic acid, dimethyl ester",19.8-20.5 g,dichloromethane,N/A,24-48 hours,83-85%
volume66article12_1_1,"1-chloro-3-trimethylsilylpropane, sodium iodide, acetone","11.5 mL (10 g, 0.066 mol), 15.0 g (0.10 mol), 50 mL",1-Iodo-3-trimethylsilylpropane,11.5-13.1 g,hexane,reflux,24 hours,72-81%
volume66article12_1_2,"diisopropylamine, tetrahydrofuran, butyllithium, N,N'-dimethylpropyleneurea, methyl tiglate, 1-iodo-3-trimethylsilylpropane","8.3 mL (5.99 g, 0.0591 mol), 120 mL, 38.7 mL, 11.2 mL (11.57 g, 0.0645 mol), 6.47 mL (6.15 g, 0.0539 mol), 13.0 g (0.0537 mol)",2-Methyl-2-vinylcyclopentanone,3.74-5.6 g,hexane,0°C,1 hour,56-84%
volume66article12_1_3,"crude ester 2, potassium hydroxide, water, ethanol","ca. 13 g, 7.3 g (ca. 0.13 mol), 4 mL, 60 mL",2-Methyl-2-vinylcyclopentanone,N/A,N/A,reflux,1 hour,N/A
volume66article12_1_4,"crude acid 3, oxalyl chloride","N/A, 8.9 mL (12.9 g, 0.101 mol)",2-Methyl-2-vinylcyclopentanone,N/A,dichloromethane,70°C,30 minutes,N/A
volume66article12_1_5,"powdered aluminum chloride, dichloromethane, 3 N hydrochloric acid","7.45 g (0.0559 mol), 100 mL, 100 mL",2-Methyl-2-vinylcyclopentanone,3.74-5.6 g,dichloromethane,"0°C, room temperature",30 minutes,56-84%
volume66article13_1_1,"sodium metal, tetrahydrofuran, dicarbonyl(cyclopentadienyl)diiron, chloroacetaldehyde diethyl acetal, tetrafluoroboric acid–diethyl ether complex","7.2 g (0.31 mol), 100 mL, 35.4 g (0.1 mol), 31.11 g (0.20 mol), 38.19 g (0.23 mol)","Dicarbonyl(cyclopentadienyl)(ethyl vinyl ether)iron tetrafluoroborate, Dicarbonyl(cyclopentadientyl)(trans-3-methyl-2-vinylcyclohexanone)iron tetrafluoroborate, trans-3-Methyl-2-vinylcyclohexanone","43.2-57.6 g, 31-39.1 g, 7.1-7.6 g","tetrahydrofuran, diethyl ether, acetonitrile",N/A,"40 min, 2 hours, N/A","60-80%, 60-75%, 64-70%"
volume66article14_1_1,"sodium hydride, 2-methylpropane-2-thiol, diketene","9.8 g (0.24 mol), 20 g (25 mL, 0.22 mol), 20.3 g (18.8 mL, 0.24 mol)",S-tert-Butyl 3-oxobutanthioate,22 g,tetrahydrofuran,-5°C to room temperature,15 min,57%
volume66article14_1_2,"methyl 2-hydroxyisobutyrate, S-tert-butyl 3-oxobutanthioate, silver(I) trifluoroacetate","10 g (0.085 mol), 17.7 g (0.102 mol), 22.5 g (0.102 mol)",1-Carbomethoxy-1-methylethyl 3-oxobutanoate,11.7 g,tetrahydrofuran,N/A,15 min,68%
volume66article14_1_3,"1-Carbomethoxy-1-methylethyl 3-oxobutanoate, tetrabutylammonium fluoride","5 g (0.025 mol), 37 mL (0.037 mol)","3-Acetyl-4-hydroxy-5,5-dimethylfuran-2(5H)-one",1.9 g,THF,N/A,3 hours,54%
volume66article15_1_1,"1-chloro-N,N,2-trimethylpropenylamine, adipic acid monomethyl ester, copper(I) iodide, butylmagnesium bromide","6.92 g (0.052 mol), 8.01 g (0.050 mol), 0.48 g (0.0025 mol), 50.5 mL (0.052 mol)",Methyl 6-oxodecanoate,8.53-8.67 g,"dichloromethane, tetrahydrofuran","Room temperature, -15°C","30 min, 1 hour",85-86%
volume66article16_1_1,"N,N-dimethylformamide, oxalyl chloride","3.07 g (0.042 mol), 5.23 mL (0.06 mol)","N,N-Dimethylchloromethylenammonium chloride",N/A,dichloromethane,0°C,1 hour,N/A
volume66article16_1_2,"6-oxodecanoic acid, pyridine, tetrahydrofuran, acetonitrile, lithium tri(tert-butoxy)aluminum hydride","7.45 g (0.04 mol), 3.32 g, 80 mL, 45 mL, 34 mL (0.046 mol)",6-oxodecanal,5.78-6.35 g,tetrahydrofuran,-90°C,30 minutes,85-93%
volume66article17_1_1,"lithium, 1,3-diaminopropane, potassium tert-butoxide, 2-decyn-1-ol","4.2 g (0.6 mol), 300 mL, 44 g (0.4 mol), 15.4 g (0.1 mol)",9-decyn-1-ol,12.8-13.5 g,hexane,70°C,3 hours,83-88%
volume66article18_1_1,"cyclobutanecarboxylic acid, tetrahydrofuran, N-methylmorpholine, ethyl chloroformate","6.0 g (59.9 mmol), 60 mL, 6.6 mL, 5.7 mL",Cyclobutanecarboxamide,4.23-4.49 g (71-76%),tetrahydrofuran,-15°C,overnight,71-76%
volume66article18_1_2,"[I,I-bis(trifluoroacetoxy)iodo]benzene, acetonitrile, distilled deionized water, cyclobutanecarboxamide","16.13 g (37.5 mmol), 37.5 mL, 37.5 mL, 2.48 g (25 mmol)",Cyclobutylamine hydrochloride,1.86-2.06 g (69-77%),acetonitrile,N/A,4 hours,69-77%
volume66article19_1_1,"Ethyl cyanoformate, diethylamine, hydrogen sulfide","20 g (0.20 mol), 0.4 g (5.5 mmol), N/A",Ethyl thioamidooxalate,22.53 g,benzene,"0°C, 25°C",14-16 hours,84%
volume66article19_1_2,"Ethyl thioamidooxalate, anhydrous hydrazine","20.0 g (0.15 mol), 4.8 g (0.15 mol)",Ethyl oxalamidrazonate,13.90 g,ethanol,25°C,3.0 hours,71%
volume66article19_1_3,"Dihydroxytartaric acid disodium salt hydrate, absolute ethanol","100 g (0.44 mol), 750 mL",Diethyl dioxosuccinate,39.60 g,anhydrous hydrogen chloride gas,0°C,72 hours,44%
volume66article19_1_4,"Ethyl oxalamidrazonate, diethyl dioxosuccinate","11.6 g (88.0 mmol), 23.1 g (114.0 mmol)","Triethyl 1,2,4-triazine-3,5,6-tricarboxylate",14.70 g,absolute ethanol,"25°C, reflux","16 hours, 2.0 hours",56%
