Index,Summary
0,
volume1article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Primary alcohol, aqueous hydrobromic acid, sulfuric acid | N/A | Corresponding alkyl bromide | N/A | water | Reflux | N/A | N/A |"
volume1article1_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| bromine, sulfur dioxide, water | 1200 g (377 cc, 7.5 moles), N/A, 500 cc | hydrobromic acid | 20 kg (92% of theoretical amount) | N/A | N/A | 23 hours | N/A |"
volume1article1_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| bromine, ice water, hydrobromic acid, sulfuric acid, allyl alcohol | 480 g (150.5 cc, 3 moles), 510 g, 1 kg (5.9 moles), 300 g (162 cc), 385 cc | allyl bromide | 445-465 g | N/A | N/A | 1/2 - 1 hour | 92-96% |
"
volume1article1_4,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| iso-amyl alcohol, hydrobromic acid, sulfuric acid | 880 g (10 moles), 2.1 kg (12.5 moles), 100 g | iso-amyl bromide | 1330-1360 g | hydrobromic acid | reflux | 5-6 hours | 88-90% |"
volume1article1_5,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| n-butyl alcohol, bromine, sulfur dioxide, sulfuric acid | 888 g (12 moles), 1200 g (376 cc, 7.5 moles), N/A, 600 g (324 cc) | n-butyl bromide | 1560 g | water | Reflux, Direct distillation | 5-6 hours, 1 hour | 95% |
| sodium bromide, n-butyl alcohol, sulfuric acid | 1545 g (15 moles), 888 g (12 moles), 2 kg (1087 cc) | n-butyl bromide | 1480 g | water | Reflux | 2 hours | 90% |"
volume1article1_6,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| hydrobromic acid, sulfuric acid, lauryl alcohol | 70 g (0.42 mole), 22 g (12 cc.), 40 g (0.22 mole) | n-dodecyl bromide | 49 g | N/A | reflux | 5-6 hours | 91% |"
volume1article1_7,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| bromine, cracked ice, hydrobromic acid, sulfuric acid, ethyl alcohol | 1 kg (314 cc, 6.25 moles), 1.1 kg, 2075 g (12.3 moles), 600 g (324 cc), 500 g (622 cc, 10 moles) | ethyl bromide | 980-1035 g | water | Distillation | N/A | 90-95% |"
volume1article1_8,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| hydrobromic acid, sulfuric acid, n-octyl alcohol | 240 g (1.4 moles), 62 g (34 cc.), 71 g (0.55 mole) | n-octyl bromide | 96 g | water | reflux | 5-6 hours | 91% |"
volume1article1_9,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| bromine, crushed ice, sulfur dioxide, trimethylene glycol, sulfuric acid | 1200 g (377 cc, 7.5 moles), 1300 g, N/A, 456 g (433 cc, 6 moles), 1200 g (652 cc) | trimethylene bromide | 1065-1142 g | N/A | reflux | 5-6 hours | 88-95% |
| water, sodium bromide, trimethylene glycol, sulfuric acid | 1350 g, 1545 g (15 moles), 456 g (6 moles), 2500 g | trimethylene bromide | 1030 g | N/A | N/A | N/A | 85% |"
