Index,Summary
0,
volume36article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| hydrochloric acid, paraformaldehyde, chlorosulfonic acid | 168 ml (200 g), 240 g, 452 ml | bischloromethyl ether | 330-350 g | N/A | Below 10°C, room temperature | 5.5 hours, 4 hours | 72-81% |"
volume36article2_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| mandelic acid, absolute ethanol, anhydrous hydrogen chloride | 152 g (1.0 mole), 200 ml, 10 g | Ethyl mandelate | 147-154 g | absolute ethanol | reflux | 5 hours | 82-86% |
"
volume36article2_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Ethyl mandelate, thionyl chloride | 135 g (0.75 mole), 98 g (59 ml, 0.82 mole) | Ethyl α-chlorophenylacetate | 121-127 g | N/A | Reflux | 30 minutes | 81-85% |"
volume36article2_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| ethyl α-chlorophenylacetate, glacial acetic acid, concentrated hydrochloric acid | 119 g (0.6 mole), 238 ml, 119 ml | α-Chlorophenylacetic acid | 82-84 g | N/A | reflux | 1.5 hours | 80-82% |"
volume36article3_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| Aniline hydrochloride, acrylonitrile, diethylamine | 12.95 g (0.10 mole), 6.6 g (0.12 mole), 9.1 g (0.12 mole) | N-2-cyanoethylaniline | 10.5-11.4 g | chloroform | 180°C | 2.5 hours | 72-78% |"
volume36article4_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| cyanamide, sodium hydroxide, phenyl isocyanate | 16.8 g (0.40 mole), 50 ml (0.15 mole), 23.8 g (22.0 ml, 0.2 mole) | 1-cyano-3-phenylurea | 20-21.5 g | water | 15-18°C | N/A | 62-67% |"
volume36article5_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| sebacoin, copper chromite catalyst, ethanol | 140 g (0.82 mole), 50 g, 230 ml | cis-1,2-cyclodecanediol | 68-73 g | ethanol, benzene | 150°C | 2-4 hours | 48-52% |
| sebacoin, copper chromite catalyst, ethanol | 140 g (0.82 mole), 50 g, 230 ml | trans-1,2-cyclodecanediol | 38-45 g | ethanol, pentane | 150°C | 2-4 hours | 27-32% |"
volume36article6_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| zinc dust, glacial acetic acid, sebacoin, hydrochloric acid | 40.5 g (0.62 g atom), 100 ml, 42.5 g (0.25 mole), 90 ml | cyclodecanone | 29-30 g | C.P. hydrochloric acid | 75-80°C | 1.5 hours | 75-78% |"
volume36article7_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| p-tolylsulfonylmethylnitrosamide, potassium hydroxide, Carbitol | 21.5 g (0.1 mole), 6 g, 35 ml | Diazomethane | 2.7-2.9 g | ether | 70-75°C | 15-20 minutes | 64-69% |"
