Index,Reactants,Reactant amounts,Products,Product amounts,Solvents,Reaction temperature,Reaction time,Yield
volume76article1_1_1,"1,1'-bi-2-naphthol, N-benzylcinchonidinium chloride","23.0 g (80 mmol), 18.6 g (44 mmol)",S-enantiomer complex,10.28-10.65 g,acetonitrile,reflux,4 hours,"89-93% recovery, 99.0% ee"
volume76article1_1_2,S-enantiomer complex,N/A,R-enantiomer complex,9.83-10.16 g,methanol,reflux,24 hours,"85-88% recovery, >99.8% ee"
volume76article2_1_1,"(R)-(+)-1,1'-bi-2-naphthol, pyridine, triflic anhydride","8.5 g (30 mmol), 7.2 mL (90 mmol), 20.0 g (70 mmol)","ditriflate of 1,1'-bi-2-naphthol",15.4 g,methylene chloride,Room temperature,17 hours,94%
volume76article2_2_1,"[1,2-bis(diphenylphosphino)ethane]nickel(II) chloride, diphenylphosphine, chiral ditriflate of binaphthol, 1,4-diazabicyclo[2.2.2]octane","1.1 g (2 mmol), 2.0 mL (12 mmol), 11.0 g (20 mmol), 9.0 g (80 mmol)",(R)-(+)-BINAP,9.6 g,dimethylformamide,100°C,2-3 days,77%
volume76article3_1_1,"(R,R)-dimethyl tartrate, boron trifluoride diethyl etherate","89.1 g (0.5 mol), 82.5 mL (48% solution, 0.31 mol)","(R,R)-Dimethyl O,O-isopropylidenetartrate",84.3 g,acetone,Room temperature,3 hours,77%
volume76article3_2_1,"magnesium turnings, iodine, 2-bromonaphthalene","24.7 g (1.02 at. equiv), N/A, 200.7 g (0.97 mol)",2-Naphthylmagnesium bromide,N/A,tetrahydrofuran,Reflux,1 hour,N/A
volume76article3_3_1,"(R,R)-dimethyl O,O-isopropylidenetartrate, 2-naphthyl-magnesium bromide","48.1 g (0.22 mol), N/A","(4R,5R)-2,2-Dimethyl-α,α,α',α'-tetra(naphth-2-yl)-1,3-dioxolane-4,5-dimethanol",56.5 g,tetrahydrofuran,20°C,1.5 hours,82%
volume76article4_1_1,"methylamine, benzaldehyde","100 mL, 26.5 g (0.25 mol)",N-Methylbenzimine,28.3 g,diethyl ether,Room temperature,Overnight,95%
volume76article4_3_1,"crude diamine, anhydrous tetrahydrofuran, lithium wire, isoprene, aqueous 2.5 N hydrochloric acid, aqueous 35% sodium hydroxide, racemic dl-tartaric acid, absolute ethanol","24.3 g, 200 mL, 1.8 g, 10.2 g, 200 mL, 50 mL, 14.4 g, 700 mL","dl-N,N'-Dimethyl-1,2-diphenylethylene-diamine",12.2 g,THF,Below 40°C,1-2 hours,51%
volume76article4_4_1,"dl-diamine, L-(+)-tartaric acid","12 g (0.05 mol), 7.1 g (0.05 mol)","(R,R)-(+)-N,N'-Dimethyl-1,2-diphenylethylenediamine, (S,S)-(−)-N,N'-Dimethyl-1,2-diphenylethylenediamine","5.5 g, 6.15 g",ethanol,reflux,17 hours,"90%, 101%"
volume76article5_1_1,"1,3-dithiane, sodium hexamethyldisilazide, butyllithium, ethyl 2,2-dimethylpropanoate","43.0 g (0.358 mol), 396 mL, 172 mL, 65.0 mL (0.427 mol)","2-(2,2-dimethylpropanoyl)-1,3-dithiane",51.0-55.1 g,"THF, hexanes","0°C, room temperature","1 hr, 30 min, 2.5 hr",70-75%
volume76article5_2_1,"(+)-[(8,8-Dimethoxycamphoryl)sulfonyl]oxaziridine, 2-(2,2-dimethylpropanoyl)-1,3-dithiane","51.0 g (0.176 mol), 36.0 g (0.176 mol)","anti- and syn-1S-(2,2-Dimethylpropanoyl)-1,3-dithiane 1-oxide",29.8-33.5 g,carbon tetrachloride,0°C to room temperature,48 hours,77-86%
volume76article5_3_1,"anti- and syn-1S-2-(2,2-dimethylpropanoyl)-1,3-dithiane 1-oxide",33 g (0.150 mol),"1S-(−)-1,3-dithiane 1-oxide",13 g,"ethanol, sodium hydroxide",reflux,24 hours,64%
volume76article6_1_1,"indene, dichloromethane, (S,S)-(N,N')-bis(3,5-di-tert-butylsalicylidene)-1,2-cyclohexanediaminomanganese(III) chloride, 4-phenylpyridine N-oxide, sodium hypochlorite","29.0 g (0.25 mol), 30 mL, 0.953 g (1.5 mmol), 1.28 g (7.5 mmol), 191 mL (1.7 M)","(1S,2R)-Indene oxide",24.0 g,hexanes,0-2°C,1 hour,71%
volume76article6_2_1,"epoxide, fuming sulfuric acid","26.0 g (0.197 mol), 20 mL (0.4 mol)","(1S,2R)-1-Aminoindan-2-ol",N/A,"acetonitrile, hexanes",-5°C to room temperature,1 hour,N/A
