Index,Summary
0,
volume51article1_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 4-aminoacetophenone, hydrobromic acid, sodium nitrite, acrylic acid, copper(I) bromide | 13.5 g (0.100 mole), 32 ml, 6.90 g (0.100 mole), 106 g (100 ml, 1.47 moles), 0.10-0.11 g (0.00069-0.00077 mole) | p-acetyl-α-bromohydrocinnamic acid | 15.2-16.0 g | acetone | 5-7°C, 14-15°C, below 33°C | 20 minutes | 56-59% |"
volume51article2_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2,4,4-trimethyl-1-pentene, chromyl chloride, zinc dust | 112.2 g (1.002 mole), 158 g (1.02 moles), 184 g | 2,4,4-trimethylpentanal | 90-100 g | dichloromethane | 0-5°C | 15 minutes | 70-78% |"
volume51article3_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 3,4,5-trimethoxybenzoyl chloride, anhydrous sodium acetate, palladium-on-carbon catalyst | 23 g (0.10 mole), 25 g (0.30 mole), 3 g | 3,4,5-trimethoxybenzaldehyde | 12.5-16.2 g | toluene | Room temperature, 35-40°C | 1 hour, 2 hours, overnight | 64-83% |"
volume51article4_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| methanesulfonic acid, trans-2-butene oxide | 48.0 g (0.500 mole), 37 g (0.52 mole) | erythro-2,3-butanediol monomesylate | 83-84 g | diethyl ether | ice-water bath | 18 hours | 99-100% |"
volume51article4_2,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| erytho-2,3-butanediol monomesylate, cyclobutanecarboxylic acid chloride | 35.3 g (0.210 mole), 23.7 g (0.200 mole) | erythro-3-methanesulfonyloxy-2-butyl cyclobutanecarboxylate | 45.1-48.0 g | pyridine | ice-water bath, room temperature | 8 hours | 90-96% |"
volume51article4_3,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| erythro-3-methanesulfonyloxy-2-butyl cyclobutanecarboxylate, pyridine, sodium borohydride | 25 g (0.10 mole), 650 ml, 5 g (0.1 mole) | 2-Cyclobutyl-cis-4-trans-5-dimethyl-1,3-dioxolane | 6.7-7.6 g | pyridine | reflux | 8 hours | 43-49% |"
volume51article4_4,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 2-cyclobutyl-cis-4-trans-5-dimethyl-1,3-dioxolane | 20 g (0.13 mole) | Cyclobutanecarboxaldehyde | 6.2-6.7 g | 3 N sulfuric acid, N,N-dimethylformamide | Reflux | N/A | 58-63% |"
volume51article5_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| phenylmercury(II) acetate, methallyl alcohol, palladium(II) acetate | 33.6 g (0.0998 mole), 14.4 g (16.8 ml, 0.200 mole), 22.4 g (0.0998 mole) | 2-methyl-3-phenylpropionaldehyde | 8.1-8.5 g | acetonitrile | Ice bath, room temperature | 4 hours | 55-58% |"
volume51article6_1,"| Reactants | Reactant amounts | Products | Product amounts | Solvents | Reaction temperature | Reaction time | Yield |
|-----------|-----------------|----------|-----------------|-----------|----------------------|----------------|-------|
| 4-cyanobenzenesulfonamide, formic acid, Raney nickel alloy | 40.0 g (0.232 mole), 600 ml, 40 g | 4-formylbenzenesulfonamide | 25.6-28.0 g | 75% formic acid | Reflux | 1 hour | 62.9-68.8% |"
